# Breach corpus seed (HIBP-style catalog snapshot). Columns: name<TAB>records<TAB>added<TAB>breach_date
# Records kept as-given (k/M/B suffixes); parser normalizes to integers. Lines starting with # are ignored.
# Authoritative refresh: scripts/fetch-breach-corpus.mjs pulls the full ~1,018 list from HIBP /api/v3/breaches.
name	records	added	breach_date
NetGalley	1.4M	2021-02-23	2020-12
CityBee	110.2k	2021-02-17	2021-02
Ge.tt	2.5M	2021-02-16	2017-05
StoryBird	1M	2021-02-02	2015-08
Pixlr	1.9M	2021-02-01	2020-10
MeetMindful	1.4M	2021-01-31	2020-01
Bonobos	2.8M	2021-01-31	2020-08
Nitro	77.2M	2021-01-19	2020-09
Romwe	19.5M	2021-01-18	2018-06
Jobandtalent	11M	2021-01-17	2018-02
Glofox	2.3M	2021-01-10	2020-03
GeniusU	1.3M	2021-01-08	2020-10
Ledger	1.1M	2020-12-20	2020-06
Peatix	4.2M	2020-12-06	2019-01
Pluto TV	3.2M	2020-12-05	2018-10
Cit0day	226.9M	2020-11-19	2020-11
123RF	8.7M	2020-11-15	2020-03
